// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	0.500000	G#4	68	78	0	0.750000	G#4	68	80	
1	0.819010	Bb4	70	75	1	1.000000	Bb4	70	80	
2	0.954427	G#4	68	77	2	1.125000	G#4	68	80	
3	1.088542	F#4	66	78	3	1.250000	F#4	66	80	
4	1.213542	G#4	68	73	4	1.375000	G#4	68	80	
5	1.342448	F5	77	83	5	1.500000	F5	77	80	
6	1.657552	C#5	73	83	6	1.750000	C#5	73	80	
7	1.972656	G#4	68	88	7	2.000000	G#4	68	80	
8	2.281250	F#4	66	77	8	2.250000	F#4	66	80	
9	2.391927	F4	65	74	9	2.375000	F4	65	80	
10	2.519531	F#4	66	87	10	2.500000	F#4	66	80	
11	2.820312	Eb5	75	78	11	2.750000	Eb5	75	80	
12	3.126302	F4	65	79	12	3.000000	F4	65	80	
13	3.424479	C#5	73	78	13	3.250000	C#5	73	80	
14	3.726562	Eb4	63	76	14	3.500000	Eb4	63	80	
15	4.023438	C5	72	72	15	3.750000	C5	72	80	
16	4.312500	C#4	61	77	16	4.000000	C#4	61	80	
17	4.611979	C#5	73	60	17	4.250000	C#5	73	80	
18	4.725260	C5	72	63	18	4.375000	C5	72	80	
19	4.871094	C#5	73	65	19	4.500000	C#5	73	80	
20	4.997396	Eb5	75	59	20	4.625000	Eb5	75	80	
21	5.131510	C#4	61	72	22	4.750000	C#4	61	80	
22	5.151042	F5	77	62	21	4.750000	F5	77	80	
23	5.269531	F#5	78	52	23	4.875000	F#5	78	80	
24	5.399740	G#5	80	59	24	5.000000	G#5	80	80	
25	5.404948	F4	65	72	25	5.000000	F4	65	80	
26	5.536458	Eb4	63	70	27	5.125000	Eb4	63	80	
27	5.536458	G5	79	60	26	5.125000	G5	79	80	
28	5.667969	C#4	61	67	29	5.250000	C#4	61	80	
29	5.678385	F5	77	65	28	5.250000	F5	77	80	
30	5.796875	Eb4	63	77	31	5.375000	Eb4	63	80	
31	5.812500	G5	79	51	30	5.375000	G5	79	80	
32	5.917969	G#5	80	63	32	5.500000	G#5	80	80	
33	5.940104	C5	72	79	33	5.500000	C5	72	80	
34	6.075521	F#5	78	54	34	5.625000	F#5	78	80	
35	6.225260	F5	77	59	35	5.750000	F5	77	80	
36	6.226562	G#4	68	80	36	5.750000	G#4	68	80	
37	6.339844	Eb5	75	59	37	5.875000	Eb5	75	80	
38	6.502604	F5	77	74	38	6.000000	F5	77	80	
39	6.510417	Eb4	63	78	39	6.000000	Eb4	63	80	
40	6.808594	C#4	61	67	40	6.250000	C#4	61	80	
41	6.936198	C4	60	70	41	6.375000	C4	60	80	
42	7.063802	C#4	61	78	42	6.500000	C#4	61	80	
43	7.207031	Eb5	75	51	43	6.625000	Eb5	75	80	
44	7.354167	Bb4	70	78	45	6.750000	Bb4	70	80	
45	7.371094	C#5	73	56	44	6.750000	C#5	73	80	
46	7.486979	F5	77	54	46	6.875000	F5	77	80	
47	7.627604	C4	60	73	48	7.000000	C4	60	80	
48	7.648438	Eb5	75	49	47	7.000000	Eb5	75	80	
49	7.744792	C#5	73	51	49	7.125000	C#5	73	80	
50	7.912760	G#4	68	76	51	7.250000	G#4	68	80	
51	7.938802	C5	72	50	50	7.250000	C5	72	80	
52	8.076823	Eb5	75	46	52	7.375000	Eb5	75	80	
53	8.199219	Bb3	58	70	54	7.500000	Bb3	58	80	
54	8.222656	C#5	73	49	53	7.500000	C#5	73	80	
55	8.342448	C5	72	52	55	7.625000	C5	72	80	
56	8.481771	G4	67	72	57	7.750000	G4	67	80	
57	8.484375	C#5	73	60	56	7.750000	C#5	73	80	
58	8.617188	Bb4	70	54	58	7.875000	Bb4	70	80	
59	8.739583	G#3	56	70	60	8.000000	G#3	56	80	
60	8.770833	Bb4	70	66	59	8.000000	Bb4	70	80	
61	8.882812	C5	72	66	61	8.125000	C5	72	80	
